,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
260,1,1,1,0,0,0,1,3,Low
261,0,1,0,0,0,0,0,5,High
262,1,0,0,0,0,0,0,5,Low
263,1,1,0,0,0,0,1,3,Low
264,1,1,0,0,0,0,0,3,Low
265,1,1,0,0,0,0,0,5,Low
266,1,0,0,0,0,0,1,5,Low
267,0,0,0,0,0,0,1,5,Low
268,1,0,1,0,0,0,1,5,Low
269,1,1,0,0,0,0,0,3,Low
270,0,0,0,0,0,0,1,5,Low
271,1,0,0,0,0,0,1,5,Low
272,1,1,0,0,0,0,0,3,High
273,1,1,0,0,0,0,1,4,Low
274,0,0,1,0,0,0,0,4,Low
275,1,0,0,0,0,0,0,4,Low
276,1,1,1,0,0,0,0,4,Low
277,0,0,0,0,0,0,1,5,Low
278,1,1,1,0,0,0,0,4,Low
279,1,1,0,0,0,0,1,5,High
280,1,0,1,0,0,0,1,5,Low
281,1,1,1,0,0,0,0,3,High
282,0,1,0,0,0,0,0,3,Low
283,1,0,0,0,0,0,0,4,Low
284,0,0,0,0,0,0,0,5,Low
285,0,0,0,0,0,0,1,4,Low
286,0,0,1,0,0,0,1,3,Low
287,1,1,1,0,0,0,0,3,Low
288,0,0,0,0,0,0,0,5,Low
289,0,0,0,0,0,0,0,5,Low
290,1,1,0,0,0,0,0,3,Low
291,1,1,0,0,0,0,0,3,Low
292,1,0,0,0,0,0,1,5,High
293,1,1,1,0,0,0,1,4,Low
294,1,0,0,0,0,0,0,4,Low
295,1,1,1,0,0,0,0,3,Low
296,0,0,0,0,0,0,1,3,Low
297,0,1,0,0,0,0,1,4,High
298,0,1,0,0,0,1,0,5,Low
299,0,1,1,0,0,0,0,3,Low
300,1,0,0,0,0,0,0,4,Low
301,0,1,0,0,0,0,0,3,Low
302,0,0,0,1,0,0,0,5,High
303,0,0,0,0,0,0,0,4,High
304,1,0,1,0,0,0,1,5,Low
305,0,0,0,0,0,1,0,3,Low
306,1,0,0,0,0,0,0,4,Low
307,1,1,1,0,0,0,0,3,Low
308,0,0,1,0,0,0,0,5,High
309,0,1,0,0,0,0,1,4,High
310,0,1,1,0,0,0,1,5,Low
311,0,1,0,1,0,0,1,5,High
312,0,1,1,0,0,0,0,3,Low
313,1,1,1,0,0,0,0,3,Low
314,1,1,0,0,0,0,1,4,Low
315,0,1,0,0,0,0,1,5,Low
316,0,1,0,0,0,0,0,4,High
317,1,0,0,0,0,0,0,3,Low
318,0,1,0,0,0,0,0,3,Low
319,0,1,0,0,0,0,1,5,Low
320,1,0,0,0,0,0,0,3,Low
321,1,1,0,0,0,0,0,4,High
322,1,1,0,0,0,0,0,3,Low
323,1,0,0,0,0,0,1,4,High
324,1,0,0,1,0,0,1,5,High
325,1,1,0,0,0,0,0,3,Low
326,1,0,0,0,0,0,0,5,Low
327,1,0,0,0,0,0,0,5,Low
328,0,0,0,0,0,0,0,4,High
329,1,0,0,0,0,0,1,4,Low
330,1,0,0,0,0,0,1,4,High
331,1,0,0,1,0,0,1,5,Low
