,healthScore,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,googleRating,typeOfFacility_GROCERY STORE 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI MORE THAN 15000 SQ FT,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_MOBILE UNIT FULL FOOD SERVICE,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT 0 TO 100 SEATS,typeOfFacility_RESTAURANT 101 TO 200 SEATS,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_BARS FRATERNAL ORGANIZATIONS,categoryOfFacility_FAST FOOD LIMITED MENU,categoryOfFacility_FULL MENU LIMITED SERVICE,categoryOfFacility_FULL SERVICE FULL MENU,categoryOfFacility_MOBILE UNITS,categoryOfFacility_RETAIL COMMISSARY
100,5,0,1,1,0,0,0,0,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101,3,1,2,2,3,1,1,1,2,1,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
102,5,0,0,0,2,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103,5,0,4,1,0,1,0,1,0,1,1,1,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
104,5,0,3,2,1,0,0,0,2,0,3,0,1,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105,3,0,4,1,3,0,0,1,0,0,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
106,5,0,2,1,2,0,0,1,0,0,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,3,1,3,2,0,2,0,1,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
108,4,0,1,2,0,0,0,1,1,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
109,3,2,2,1,3,1,0,1,2,0,1,1,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
110,4,0,0,1,0,0,0,2,1,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
111,5,1,2,1,0,0,0,2,1,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112,4,1,5,3,0,2,0,3,1,1,0,1,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
113,4,0,1,2,1,3,1,0,1,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
114,3,2,2,1,1,1,0,1,0,0,0,0,0,High,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
115,4,0,1,1,0,0,0,0,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
116,4,0,0,2,1,0,0,0,1,1,0,0,0,Low,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
117,4,0,3,0,1,1,1,0,0,1,2,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
118,4,1,4,2,0,2,0,2,1,1,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
119,4,0,2,2,0,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
120,4,0,2,1,0,0,0,0,3,0,2,0,2,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
