facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000192,,,,,,,,1,2,,,,,,,,,2,3,,,,,3,,,3,,1,,1,,1,,,,1,1,,1,2,1,,1,1,1,1,1,1,1
FA0000193,,1,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000200,,,,,,1,,2,1,,2,,1,,,,1,,4,1,,1,,,,,3,,,,,1,,,,,,,,,,,,,,1,,,,
FA0000210,,,2,,,1,,,3,,,,1,1,,,,,3,,,1,,1,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,
FA0000225,,,,,,,,,2,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
FA0000230,,,,1,,1,1,,2,,,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,
FA0000233,,,,,,,1,,,,,,1,1,,,,,,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,
FA0000234,,,,,,1,2,1,1,,,,1,,,,,2,1,,,,,2,,,1,,1,,,,,,,,,,,1,,,,2,,1,,1,,
FA0000237,,,2,,,1,1,,2,,,,2,2,,,,,2,,,,,3,,,2,,1,,,,1,1,,,1,,1,2,3,1,1,2,,1,,2,3,
FA0000238,,,,,,1,,,3,,,,,1,,,,,2,,,,,2,,,1,,1,,,1,1,,,,1,,,,,,,1,,,,,,
FA0000240,,,,,,2,1,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,
FA0000242,,,,,,1,,,1,,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,
FA0000245,,1,1,,1,1,,,1,,,,,1,,,,1,2,,,,,,,,2,,1,,,2,,,,,,,,,,,,,,,,,,
FA0000247,,1,,,,,,1,,1,,1,1,1,,,,,1,1,,2,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1
FA0000251,,,,,1,2,,1,1,,,,1,,,,,1,3,,,1,,1,,,,,1,,1,,,,,,1,,1,1,2,,1,1,,,,1,,
FA0000252,,,1,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,
FA0000253,,,1,,,,,,,,,,,,,,,1,3,,,1,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,
FA0000256,,,1,,,,,,,,1,,1,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,2,,,1,,,,,,
FA0000257,,2,2,,1,,1,1,3,,1,,,,,,,1,2,,,,,2,,,1,,,,,,3,,,,,,,1,2,,,2,1,,,,,
FA0000258,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,2,,,1,2,,,,,,,,1,,,,,,,,,
FA0000278,,,,,,1,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000279,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,
FA0000281,,,,,,,,1,2,,,,,1,,1,,,2,,,,,1,,,1,,,,,,3,,,,1,,,,1,,1,,,,,,,
FA0000288,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,1,,1,,,1,,1,,
