facilityId,biz_status,rating,price_level,total_user_ratings
FA0001251,OPERATIONAL,4.7,4.0,308.0
FA0003837,OPERATIONAL,4.3,1.0,1039.0
FA0000943,OPERATIONAL,4.2,2.0,667.0
FA0002315,OPERATIONAL,4.2,2.0,519.0
FA0000724,OPERATIONAL,4.3,2.0,277.0
FA0005003,OPERATIONAL,4.6,2.0,929.0
FA0002506,OPERATIONAL,4.7,2.0,951.0
FA0000798,OPERATIONAL,4.4,2.0,1328.0
FA0000467,OPERATIONAL,4.5,2.0,164.0
FA0004847,OPERATIONAL,3.7,1.0,67.0
FA0001138,OPERATIONAL,4.4,1.0,1110.0
FA0000630,OPERATIONAL,4.4,1.0,488.0
FA0002345,OPERATIONAL,4.0,1.0,507.0
FA0004885,OPERATIONAL,4.2,2.0,640.0
FA0001278,OPERATIONAL,4.5,2.0,283.0
FA0001595,OPERATIONAL,3.4,1.0,35.0
FA0002657,OPERATIONAL,4.4,2.0,679.0
FA0001493,OPERATIONAL,4.3,1.0,562.0
FA0003319,OPERATIONAL,3.7,1.0,172.0
FA0000110,OPERATIONAL,3.5,1.0,324.0
FA0002592,OPERATIONAL,4.6,1.0,476.0
FA0003376,OPERATIONAL,3.7,1.0,315.0
FA0003267,OPERATIONAL,4.1,2.0,534.0
FA0000808,CLOSED_TEMPORARILY,3.4,1.0,27.0
FA0004908,OPERATIONAL,4.2,2.0,603.0
FA0002311,OPERATIONAL,4.5,1.0,138.0
FA0002874,OPERATIONAL,4.2,1.0,834.0
FA0000112,OPERATIONAL,3.0,1.0,276.0
FA0003365,OPERATIONAL,4.5,1.0,339.0
FA0000124,OPERATIONAL,4.6,1.0,58.0
FA0001182,OPERATIONAL,4.0,2.0,379.0
FA0000714,OPERATIONAL,4.5,1.0,554.0
FA0002162,OPERATIONAL,4.1,1.0,174.0
FA0005347,OPERATIONAL,4.6,1.0,536.0
FA0002651,OPERATIONAL,4.4,1.0,1067.0
FA0004837,OPERATIONAL,4.2,2.0,1184.0
FA0001355,OPERATIONAL,4.0,1.0,93.0
FA0001514,OPERATIONAL,4.0,1.0,392.0
FA0003265,OPERATIONAL,4.3,1.0,242.0
FA0004769,OPERATIONAL,4.4,1.0,330.0
FA0004641,OPERATIONAL,3.5,1.0,614.0
FA0000365,OPERATIONAL,3.8,1.0,709.0
FA0004736,OPERATIONAL,4.3,2.0,595.0
