facilityId,facilityName,concat_address,typeOfFacility,categoryOfFacility,origin_lat,origin_long,google_lat,google_long
FA0000088,TILT,640 MAIN ST UNIT B LOUISVILLE CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,39.976661, -105.132138,39.9766071,-105.1318801
FA0000327,GLACIER VIEW RANCH,8748 OVERLAND RD WARD CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.124623, -105.460298,40.1249376,-105.4600528
FA0005092,SUNRISE BISON RANCH @ BLDR FARM MRKT (PRE-PKG),33558 COUNTY ROAD 50 RAMAH CO USA,MOBILE UNIT PREPACKAGED,PRE PACKAGED,39.042258, -104.029694,40.3469572,-104.416715
FA0002301,PROTOS PIZZA,4670 N BROADWAY ST BLDG C BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.059407, -105.282132,40.059449,-105.28189
FA0000529,ART WALK CAFE,1950 MOUNTAIN VIEW AVE LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,RESIDENTIAL FACILITIES,40.181324, -105.126382,40.1822195,-105.1260783
FA0002441,OZO EAST PEARL,1521 PEARL ST UNIT B BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.018859, -105.275329,40.0190869,-105.2753813
FA0001513,STARBUCKS COFFEE 6638,1087 S HOVER RD UNIT A-1 LONGMONT CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.147641, -105.130866,40.1470806,-105.1314918
FA0003529,YELLOWBELLY,2525 ARAPAHOE AVE UNIT E-1B BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.014691, -105.26231,40.0152398,-105.2600413
FA0000337,WOK TO FLATIRONS DELI,2100 CENTRAL AVE UNIT 101 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.021729, -105.218162,40.0216071,-105.2171968
FA0001330,MOES BROADWAY BAGEL,637 S BROADWAY ST UNIT G2 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.984339, -105.248924,39.7050752,-104.9875752
FA0000887,TAJ RESTAURANT,2630 BASELINE RD BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.00027, -105.261262,39.9998522,-105.2610499
FA0005186,IL PORCELLINO SALUMI @ BLDR FARM MRKT PRE-PKG,4324 W 41ST AVE DENVER CO USA,MOBILE UNIT PREPACKAGED,PRE PACKAGED,39.772488, -105.043535,39.7724018,-105.0435392
FA0002656,SUBWAY,965 S HOVER ST UNIT D LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.151173, -105.130749,40.1511469,-105.1314918
FA0002144,LEAF VEGETARIAN RESTAURANT,1710 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.019085, -105.274216,40.0191054,-105.2729781
FA0005182,MCDEVITT TACO SUPPLY,4800 BASELINE RD UNIT C110 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.000017, -105.234005,39.9980269,-105.2328968
FA0000242,ELDORA MOUNTAIN RESORT,2861 ELDORA SKI RD NEDERLAND CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.937894, -105.582825,39.9366134,-105.5884097
FA0000130,GURKHAS ON THE HILL,1310 COLLEGE AVE UNIT 230 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.007302, -105.275896,40.0071181,-105.2759597
FA0002665,FIVE SPICE ASIAN CUSINE,3325 28TH ST UNIT 5 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.034955, -105.258526,40.035429,-105.2598618
FA0001210,SUPER TARGET 1769,400 MARSHALL RD SUPERIOR CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,39.956185, -105.170104,39.9556361,-105.1703511
FA0001338,ASIAN CUISINE AND VIETNAMESE,1627 COALTON RD SUPERIOR CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.928957, -105.149309,39.9295679,-105.1497666
FA0000288,KUNG FU TEA,1121 BROADWAY ST UNIT 102 BOULDER CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.007855, -105.275237,40.007786,-105.2752847
