city,facility_name,facility_name_plus,facility_id,rating,total_ratings,avg_inspection_score,avg_violations_count
BOULDER,SAND WEDGE CAFE & BAR,BOULDER - SAND WEDGE CAFE & BAR,FA0000474,4.7,1101,34.41,4.0
BOULDER,SANTO,BOULDER - SANTO,FA0000582,4.6,573,56.32,5.333333333333333
BOULDER,SAVORY SPICE SHOP,BOULDER - SAVORY SPICE SHOP,FA0002925,4.8,77,21.00,2.5
BOULDER,SCRATCH KITCHENS,BOULDER - SCRATCH KITCHENS,FA0001204,3.9,117,39.46,4.333333333333333
BOULDER,SCROOGE MAKI,BOULDER - SCROOGE MAKI,FA0000782,4.3,183,47.69,5.333333333333333
BOULDER,SCROOGE MAKI 1 (MOBILE),BOULDER - SCROOGE MAKI 1 (MOBILE),FA0005391,4.3,183,15.00,2.0
BOULDER,SEEDS LIBRARY CAFE,BOULDER - SEEDS LIBRARY CAFE,FA0004706,4.6,211,17.86,3.5
BOULDER,SEVENTEEN THIRTY-NINE,BOULDER - SEVENTEEN THIRTY-NINE,FA0000247,4.5,21,39.36,4.5
BOULDER,SFORNO TRATTORIA,BOULDER - SFORNO TRATTORIA,FA0000139,4.1,456,14.40,7.5
BOULDER,SHERPAS,BOULDER - SHERPAS,FA0001614,4.5,876,12.40,2.5
BOULDER,SINK THE,BOULDER - SINK THE,FA0001084,4.5,2034,95.26,4.75
BOULDER,SKA STREET BREWSTILLERY,BOULDER - SKA STREET BREWSTILLERY,FA0000421,4.4,158,65.83,4.0
BOULDER,SMASHBURGER @ CROSS ROADS MALL,BOULDER - SMASHBURGER @ CROSS ROADS MALL,FA0003337,3.7,436,20.00,2.0
BOULDER,SNARF BURGER,BOULDER - SNARF BURGER,FA0000339,4.5,1071,34.25,2.6666666666666665
BOULDER,SNARFS,BOULDER - SNARFS,FA0000351,4.0,304,25.57,2.333333333333333
BOULDER,SNARFS,BOULDER - SNARFS,FA0000966,4.3,768,17.33,2.0
BOULDER,SNARFS PEARL,BOULDER - SNARFS PEARL,FA0001624,4.3,628,40.22,2.5
BOULDER,SNARFS SANDWICHES,BOULDER - SNARFS SANDWICHES,FA0003522,4.4,346,22.50,2.0
BOULDER,SNOOZE,BOULDER - SNOOZE,FA0003604,4.6,1885,26.00,1.5
BOULDER,SPANISH,BOULDER - SPANISH,FA0003499,4.6,256,52.69,4.333333333333333
BOULDER,SPOTTED JAMES THE,BOULDER - SPOTTED JAMES THE,FA0001072,2.7,10,37.00,2.5
BOULDER,SPRUCE CAFE,BOULDER - SPRUCE CAFE,FA0005030,4.3,90,21.00,6.0
BOULDER,SPRUCE CONFECTIONS,BOULDER - SPRUCE CONFECTIONS,FA0000897,4.5,161,32.00,2.5
