"facility_id","facility_name","google_lat","google_long","price_level","rating","total_ratings","avg_inspection_score","avg_violations_count","inspection_count"
"FA0000390","HAMPTON INN",40.1492455,-105.101868,2,4.5,437,36.42857142857143,3.5,7
"FA0000391","HAOWAY CHINESE CAFE",40.0163803,-105.2526305,1,4.2,229,22.545454545454547,3.5,11
"FA0000392","HAPA SUSHI AND SAKE",40.0178425,-105.2808494,2,4.4,968,30.833333333333332,2.0,6
"FA0000394","HENRYS BAR AND GRILL",39.9769938,-105.1313319,1,4.1,125,8.4,2.5,5
"FA0000396","GOOD EATS GRILL",40.1783867,-105.1158826,1,4.6,481,46.53846153846154,4.333333333333333,13
"FA0000399","HIDDEN CAFE",40.1734733,-105.1028272,1,4.6,341,51.666666666666664,4.5,9
"FA0000401","HUCKLEBERRY",39.976987,-105.1319715,2,4.5,1620,63.333333333333336,8.0,24
"FA0000402","NEW MOON BAKERY",39.962135,-105.5105752,1,4.6,547,25.0,2.0,6
"FA0000406","DUNKIN DONUTS #856",40.0335307,-105.2592352,1,3.6,456,35.77777777777778,2.3333333333333335,9
"FA0000407","KFC AND TACO BELL STORE 474",40.0138709,-105.2111301,1,3,523,28.333333333333332,2.0,6
"FA0000411","SUSHI HANA JAPANESE CUISINE",40.1954234,-105.1029186,2,4.5,468,37.916666666666664,4.0,12
"FA0000414","JOHN HAROLD BUCKLEY POST 32",40.1540914,-105.1124653,2,4.7,87,64.78571428571429,4.666666666666667,14
"FA0000416","SUSHI HANA",40.0085287,-105.2766725,2,3.4,87,74.73684210526316,6.5,19
"FA0000418","RIVER AND WOODS",40.0207887,-105.2649127,2,4.5,974,62.0,4.0,8
"FA0000421","SKA STREET BREWSTILLERY",40.0149857,-105.2455479,2,4.4,158,65.83333333333333,4.0,12
"FA0000432","KOREA HOUSE",40.0323957,-105.2596712,2,4.3,296,19.8,2.5,5
"FA0000436","FRASCA FOOD AND WINE",40.0192053,-105.2724707,4,4.6,487,48.44444444444444,2.6666666666666665,9
"FA0000442","HOMEWOOD SUITES BOULDER",39.9973834,-105.2326884,0,4.4,523,22.666666666666668,2.0,6
"FA0000443","EFRAINS II",40.01538439999999,-105.2061839,1,4.5,1310,68.82352941176471,4.25,17
"FA0000445","EFRAINS",39.9973756,-105.0901515,1,4.3,1351,45.0,4.0,25
"FA0000447","EUREST DINING SERVICE AT IBM CANTEE",40.08903249999999,-105.1981362,2,3.6,11,99.78947368421052,5.0,19
"FA0000449","ASH KARA",40.0177094,-105.2816351,2,4.3,101,82.0,8.0,16
"FA0000451","RINCON ARGENTINO",40.0149621,-105.2627948,1,4.8,1766,22.5,1.5,4
"FA0000455","LA MARIPOSA RESTAURANT",40.1528021,-105.113927,2,4,677,29.833333333333332,4.0,12
"FA0000456","LA MARIPOSA RESTAURANT(LYONS)",40.2220558,-105.2640528,2,4.2,302,51.666666666666664,6.0,12
"FA0000457","SANTIAGOS MEXICAN RESTAURANT",40.162504,-105.1030099,1,4.4,1603,18.333333333333332,1.5,3
