facilityId,biz_status,rating,price_level,total_user_ratings
FA0000093,OPERATIONAL,4.2,2.0,698.0
FA0005021,OPERATIONAL,4.9,2.0,164.0
FA0004995,OPERATIONAL,4.3,2.0,8.0
FA0000303,OPERATIONAL,4.2,2.0,512.0
FA0005299,OPERATIONAL,4.2,2.0,21.0
FA0005212,OPERATIONAL,3.4,2.0,8.0
FA0004686,OPERATIONAL,4.7,2.0,214.0
FA0000176,OPERATIONAL,2.6,2.0,215.0
FA0005143,OPERATIONAL,3.3,2.0,223.0
FA0005377,OPERATIONAL,4.3,2.0,49.0
FA0005414,OPERATIONAL,4.2,2.0,49.0
FA0005402,OPERATIONAL,4.8,2.0,334.0
FA0004970,OPERATIONAL,2.1,2.0,23.0
FA0005473,OPERATIONAL,4.1,2.0,13.0
FA0005424,OPERATIONAL,4.2,2.0,253.0
