facilityId,biz_status,rating,price_level,total_user_ratings
FA0000365,OPERATIONAL,3.8,1,709
FA0004736,OPERATIONAL,4.3,2,595
FA0000515,OPERATIONAL,4.7,2,113
FA0000973,OPERATIONAL,3.8,1,111
FA0000458,OPERATIONAL,4.3,1,269
FA0000818,OPERATIONAL,4.2,2,170
FA0000080,OPERATIONAL,4.6,2,1358
FA0003784,OPERATIONAL,4.3,2,335
FA0001055,OPERATIONAL,3.7,2,38
FA0000779,OPERATIONAL,3.8,2,49
FA0002502,OPERATIONAL,3.7,1,3587
FA0002505,OPERATIONAL,4,1,2462
FA0000751,OPERATIONAL,4.2,1,676
FA0000599,OPERATIONAL,4.3,2,1799
FA0000396,OPERATIONAL,4.6,1,481
FA0000109,OPERATIONAL,3,1,612
FA0001272,OPERATIONAL,4.3,1,354
FA0005301,OPERATIONAL,4.7,2,201
FA0002492,OPERATIONAL,4.6,2,380
FA0003585,OPERATIONAL,4.6,2,288
FA0001233,OPERATIONAL,3.2,1,27
FA0000419,OPERATIONAL,4.3,1,628
FA0002374,OPERATIONAL,2.5,2,77
FA0001091,OPERATIONAL,3.9,1,896
FA0004975,OPERATIONAL,4.6,1,523
FA0001550,OPERATIONAL,4.3,1,557
FA0005386,OPERATIONAL,4.5,2,876
FA0001343,OPERATIONAL,4.3,2,308
FA0000245,OPERATIONAL,4.8,1,1421
FA0000466,OPERATIONAL,4.1,1,568
FA0001347,OPERATIONAL,4.5,2,600
FA0004835,OPERATIONAL,4.5,2,433
FA0002925,OPERATIONAL,4.8,2,77
FA0002416,OPERATIONAL,4.6,1,263
FA0004977,OPERATIONAL,4.2,2,408
FA0000605,OPERATIONAL,4.6,1,174
FA0002882,OPERATIONAL,4.7,1,93
FA0000863,OPERATIONAL,4.2,1,571
FA0001336,OPERATIONAL,4.2,2,512
FA0002873,OPERATIONAL,4.5,1,186
FA0000925,OPERATIONAL,4.2,1,310
FA0003050,OPERATIONAL,4.1,2,410
FA0002939,OPERATIONAL,4.4,2,1217
FA0003257,OPERATIONAL,4.5,2,913
FA0000064,OPERATIONAL,4.2,2,295
FA0000535,OPERATIONAL,4.3,1,297
FA0002759,OPERATIONAL,4.6,1,696
FA0000486,OPERATIONAL,4.5,2,2352
FA0000113,OPERATIONAL,2.8,1,404
FA0000642,OPERATIONAL,3.5,1,1088
FA0001186,OPERATIONAL,3.5,1,778
FA0000500,OPERATIONAL,4.2,2,1235
FA0000164,OPERATIONAL,4.3,2,928
FA0000803,OPERATIONAL,3.7,1,152
FA0000721,OPERATIONAL,4.2,2,861
FA0005038,OPERATIONAL,4.4,1,177
FA0003806,OPERATIONAL,2.9,1,247
FA0000628,OPERATIONAL,4.2,2,1453
FA0000279,OPERATIONAL,3.1,1,1009
FA0000017,OPERATIONAL,4.3,2,109
FA0003722,OPERATIONAL,4.6,1,292
FA0002133,OPERATIONAL,4.6,1,536
FA0000445,OPERATIONAL,4.3,1,1351
FA0005072,OPERATIONAL,3.9,2,194
FA0002868,OPERATIONAL,4.5,2,807
FA0000657,OPERATIONAL,3.7,1,260
FA0003606,OPERATIONAL,4.6,3,1181
FA0001614,OPERATIONAL,4.5,2,876
FA0001292,OPERATIONAL,4,1,534
FA0004833,OPERATIONAL,3.1,2,30
FA0002758,OPERATIONAL,4.6,2,583
FA0003599,OPERATIONAL,4.4,2,279
FA0000931,OPERATIONAL,4.6,2,875
FA0005408,OPERATIONAL,4.1,1,322
FA0002178,OPERATIONAL,4.5,1,566
FA0002287,OPERATIONAL,4.5,1,760
FA0000185,OPERATIONAL,3.7,1,85
FA0001623,CLOSED_TEMPORARILY,4.5,2,237
FA0000326,OPERATIONAL,4.6,1,416
FA0000278,OPERATIONAL,4.3,1,1185
FA0001161,OPERATIONAL,3.3,1,103
FA0000821,OPERATIONAL,4.7,1,194
FA0000493,OPERATIONAL,4.2,1,427
FA0002839,OPERATIONAL,4.6,1,310
FA0002701,OPERATIONAL,4.7,2,717
FA0000886,OPERATIONAL,4.4,1,509
FA0004638,OPERATIONAL,4.6,2,1364
FA0004897,OPERATIONAL,4.2,2,667
FA0003769,OPERATIONAL,4.1,2,920
FA0004519,OPERATIONAL,4.7,1,718
FA0000399,OPERATIONAL,4.6,1,341
FA0000738,OPERATIONAL,4.3,2,1553
FA0003737,OPERATIONAL,4.6,2,332
FA0001288,OPERATIONAL,4.4,2,1217
FA0000133,OPERATIONAL,4,1,71
